Voltage (1)  Voltage (2)  Voltage (diff)  Resistance  Temp (C)  Average temp-10 (C) Average temp-100 (C)						
1.29	1.65	0.36	6407.38	35.9	34.49	28.31
1.31	1.66	0.35	6486.7	35.62	34.67	28.4
1.31	1.65	0.34	6620.63	35.16	34.82	28.48
1.31	1.65	0.34	6566.8	35.35	34.94	28.57
1.3	1.65	0.35	6460.18	35.71	35.09	28.66
1.3	1.65	0.35	6460.18	35.71	35.22	28.76
1.29	1.65	0.35	6460.18	35.71	35.34	28.85
1.29	1.65	0.36	6407.38	35.9	35.47	28.94
1.29	1.65	0.36	6433.73	35.81	35.55	29.04
1.3	1.65	0.35	6460.18	35.71	35.66	29.13
1.3	1.65	0.35	6513.32	35.53	35.62	29.22
1.3	1.65	0.35	6513.32	35.53	35.61	29.31
1.3	1.65	0.35	6513.32	35.53	35.65	29.4
1.28	1.65	0.37	6354.92	36.08	35.72	29.5
1.28	1.64	0.35	6486.7	35.62	35.71	29.59
1.29	1.65	0.36	6381.1	35.99	35.74	29.69
1.28	1.65	0.37	6328.81	36.17	35.79	29.79
1.28	1.65	0.36	6381.1	35.99	35.8	29.89
1.29	1.65	0.36	6407.38	35.9	35.81	29.98
1.29	1.65	0.35	6460.18	35.71	35.81	30.08
1.27	1.65	0.38	6276.85	36.36	35.89	30.18
1.3	1.65	0.35	6486.7	35.62	35.9	30.27
1.29	1.65	0.36	6433.73	35.81	35.93	30.37
1.28	1.65	0.38	6276.85	36.36	35.95	30.47
1.29	1.65	0.36	6407.38	35.9	35.98	30.57
1.29	1.65	0.35	6486.7	35.62	35.94	30.66
1.29	1.65	0.36	6381.1	35.99	35.93	30.76
1.28	1.65	0.37	6302.79	36.27	35.95	30.86
1.28	1.65	0.37	6328.81	36.17	35.98	30.97
1.28	1.65	0.37	6354.92	36.08	36.02	31.07
1.29	1.65	0.36	6407.38	35.9	35.97	31.16
1.29	1.65	0.36	6381.1	35.99	36.01	31.26
1.28	1.65	0.36	6381.1	35.99	36.03	31.36
1.28	1.65	0.37	6354.92	36.08	36	31.45
1.29	1.65	0.36	6381.1	35.99	36.01	31.54
1.29	1.65	0.36	6407.38	35.9	36.04	31.64
1.28	1.65	0.37	6328.81	36.17	36.05	31.73
1.28	1.65	0.37	6328.81	36.17	36.04	31.82
1.28	1.65	0.37	6302.79	36.27	36.05	31.91
1.27	1.65	0.37	6302.79	36.27	36.07	32
1.28	1.65	0.37	6328.81	36.17	36.1	32.08
1.26	1.65	0.38	6225.22	36.54	36.16	32.16
1.27	1.65	0.38	6250.99	36.45	36.2	32.24
1.27	1.65	0.38	6225.22	36.54	36.25	32.33
1.28	1.65	0.36	6381.1	35.99	36.25	32.41
1.28	1.65	0.37	6328.81	36.17	36.28	32.49
1.28	1.65	0.37	6328.81	36.17	36.28	32.57
1.29	1.65	0.36	6381.1	35.99	36.26	32.65
1.28	1.65	0.37	6328.81	36.17	36.25	32.73
